index,start_sec,end_sec,duration_sec,symbol,template_name,distance_best,distance_second,confidence,alt_2,alt_3
1,1.49,2.0,0.51,+,plus,1.0276641899290608,1.2780951608745819,0.1959407864232541,5,6
2,3.08,3.61,0.5299999999999998,7,seven,0.819256686789596,1.50106069971725,0.454214818265566,4,3
3,4.65,5.16,0.5099999999999998,9,nine,1.534273438518104,1.5797561336570634,0.028790959674053578,0,7
4,6.21,6.83,0.6200000000000001,8,eight,0.8866564491621471,1.685495456731772,0.47394907199488895,0,3
5,8.31,8.7,0.3899999999999988,5,five,1.218601506252888,1.5701818730351875,0.22391060094375487,6,7
6,9.78,10.47,0.6900000000000013,8,eight,1.2478951897003658,1.827163564720982,0.3170314832263381,2,3
7,11.3,11.81,0.5099999999999998,2,two,1.3816863409668163,1.4515607211709711,0.048137414566982284,0,8
8,13.32,13.93,0.6099999999999994,7,seven,0.9753314072851907,1.4820490412428724,0.34190341875106867,3,4
9,15.02,15.53,0.5099999999999998,0,zero,1.4164705197684164,1.4420932986236399,0.017767767785675383,2,8
10,16.55,17.29,0.7399999999999984,8,eight,1.3074452355364043,1.9620067454220027,0.3336183789443652,2,3
11,18.19,18.74,0.5499999999999972,7,seven,0.8695528804880055,1.4798114101252895,0.4123893933116896,3,4
12,19.77,20.11,0.33999999999999986,3,three,1.3605685949746764,1.4098014342174845,0.03492182519315917,7,4
