index;symbol;width;height;weight;profile_x_max;profile_y_max
1;A;37;34;966;33;36
2;B;31;34;616;32;21
3;C;31;34;783;33;26
4;D;35;34;768;32;25
5;E;29;34;662;32;24
6;F;26;33;612;32;21
7;G;35;34;842;33;30
8;H;36;34;795;32;26
9;I;15;32;312;32;10
10;J;19;34;443;33;15
11;K;37;34;852;33;29
12;L;29;34;740;32;24
13;M;44;34;990;32;33
14;N;38;34;951;33;32
15;Ñ;38;45;1309;44;38
16;O;34;34;788;31;26
17;P;26;34;560;32;21
18;Q;34;44;1071;40;30
19;R;34;34;745;33;24
20;S;23;34;489;31;17
21;T;28;32;696;32;23
22;U;37;34;964;33;30
23;V;37;34;990;33;36
24;W;48;34;1173;33;45
25;X;37;34;906;33;31
26;Y;37;34;978;33;32
27;Z;29;34;677;32;24
