idx;x_left;y_top;x_right;y_bottom;width;height;weight
1;0;0;36;33;37;34;966
2;41;1;45;32;5;32;153
3;48;0;74;33;27;34;683
4;80;1;84;32;5;32;154
5;89;0;125;33;37;34;966
6;130;1;134;32;5;32;154
7;140;0;163;33;24;34;591
8;186;1;192;33;7;33;218
9;195;0;216;33;22;34;568
10;219;1;223;33;5;33;164
11;228;0;261;33;34;34;788
12;284;1;288;32;5;32;157
13;294;0;312;33;19;34;505
14;317;0;339;33;23;34;489
15;362;1;366;32;5;32;153
16;369;0;395;33;27;34;683
17;401;1;405;32;5;32;154
18;410;1;414;32;5;32;158
19;420;1;424;32;5;32;154
20;429;1;433;32;5;32;154
21;439;0;462;33;24;34;591
22;467;0;503;33;37;34;966
23;508;1;512;32;5;32;154
24;518;0;541;33;24;34;591
25;546;0;568;33;23;34;489
26;573;1;577;32;5;32;157
27;583;0;601;33;19;34;505
28;624;1;628;32;5;32;157
29;634;0;652;33;19;34;505
30;657;1;661;32;5;32;154
31;667;0;685;33;19;34;586
32;708;0;744;33;37;34;964
33;749;1;755;33;7;33;218
34;758;0;779;33;22;34;568
35;782;1;786;33;5;33;164
36;791;0;824;33;34;34;788
37;847;0;883;33;37;34;966
38;888;1;892;32;5;32;154
39;898;0;916;33;19;34;586
40;939;0;972;33;34;34;788
41;977;2;987;33;11;32;335
42;993;2;1004;33;12;32;361
43;1009;1;1013;32;5;32;154
44;1019;0;1042;33;24;34;591
45;1047;0;1080;33;34;34;788
46;1085;26;1091;39;7;14;50
47;1113;0;1135;33;23;34;489
48;1140;1;1144;32;5;32;158
49;1150;1;1154;32;5;32;154
50;1159;1;1165;33;7;33;218
51;1168;0;1189;33;22;34;568
52;1192;1;1196;33;5;33;164
53;1201;0;1234;33;34;34;788
54;1257;1;1261;32;5;32;153
55;1264;0;1290;33;27;34;683
56;1296;1;1300;32;5;32;154
57;1305;1;1309;32;5;32;158
58;1315;1;1319;32;5;32;154
59;1324;1;1328;32;5;32;154
60;1334;0;1357;33;24;34;591
61;1362;0;1398;33;37;34;966
62;1403;1;1407;32;5;32;154
63;1413;0;1436;33;24;34;591
64;1459;0;1467;33;9;34;264
65;1469;1;1477;33;9;33;178
66;1482;0;1518;33;37;34;964
67;1523;1;1529;33;7;33;218
68;1532;0;1553;33;22;34;568
69;1556;1;1560;33;5;33;164
70;1565;2;1575;33;11;32;335
71;1581;2;1592;33;12;32;361
72;1597;0;1630;33;34;34;788
73;1635;0;1657;33;23;34;489
74;1680;1;1684;32;5;32;157
75;1690;0;1708;33;19;34;505
76;1713;1;1719;33;7;33;218
77;1722;0;1743;33;22;34;568
78;1746;1;1750;33;5;33;164
79;1773;1;1777;32;5;32;154
80;1783;0;1801;33;19;34;586
81;1806;0;1842;33;37;34;966
82;1865;1;1869;32;5;32;153
83;1872;0;1898;33;27;34;683
84;1904;1;1908;32;5;32;154
85;1913;1;1917;32;5;32;158
86;1923;1;1927;32;5;32;154
87;1932;0;1954;33;23;34;489
88;1959;1;1963;32;5;32;153
89;1966;0;1992;33;27;34;683
90;1998;1;2002;32;5;32;154
91;2007;0;2043;33;37;34;966
92;2066;1;2070;32;5;32;154
93;2076;0;2100;33;25;34;614
94;2105;1;2109;32;5;32;158
95;2115;1;2119;32;5;32;154
96;2124;1;2128;32;5;32;154
97;2134;0;2157;33;24;34;591
98;2162;1;2166;32;5;32;157
99;2172;0;2190;33;19;34;505
100;2195;0;2225;33;31;34;783
101;2230;0;2260;33;31;34;783
102;2265;1;2269;32;5;32;158
103;2275;1;2279;32;5;32;154
104;2284;4;2305;39;22;36;239
105;2309;1;2315;33;7;33;218
106;2318;0;2339;33;22;34;568
107;2342;1;2346;33;5;33;164
