idx;x_left;x_right;expected_letter;expected_kind;best;S1;h2;S2;h3;S3;h4;S4;h5;S5
1;0;47;A;letter;A;0.23747449485729938;X;0.1543507105651579;R;0.14496350408590783;K;0.13339843681747857;Ñ;0.12934922146072203
2;52;109;M;letter;M;0.18385309373052702;D;0.14780006464900397;H;0.14244230632717875;B;0.13637140031733394;K;0.11201691745472094
3;114;161;A;letter;A;0.23747449485729938;X;0.1543507105651579;R;0.14496350408590783;K;0.13339843681747857;Ñ;0.12934922146072203
4;166;209;R;letter;R;0.1690770781775957;B;0.15620697302301062;D;0.148320363389871;K;0.14494577719150545;H;0.13549281140010652
5;232;281;N;letter;N;0.22763519783969238;H;0.2106642965416459;M;0.20369647997511098;D;0.20185684110534652;B;0.1975679058064702
6;286;329;O;letter;O;0.17650368025500018;Q;0.16903111451087965;G;0.13695670687150802;M;0.1343323402224251;D;0.13062179867171267
7;352;389;E;letter;E;0.17457697428687097;B;0.1555705402681425;R;0.13182552775851517;K;0.13171548408056175;F;0.13072608449201045
8;394;423;S;letter;S;0.1689269577058031;B;0.14180029626421467;D;0.13767397164179346;Q;0.13524635084467956;Ñ;0.12618453205997313
9;446;503;M;letter;M;0.18385309373052702;D;0.14780006464900397;H;0.14244230632717875;B;0.13637140031733394;K;0.11201691745472094
10;508;527;I;letter;I;0.09770423509541086;R;0.0914383398077371;B;0.09124861777031001;Z;0.09118841385511636;X;0.09005949213037516
11;532;575;R;letter;R;0.1690770781775957;B;0.15620697302301062;D;0.148320363389871;K;0.14494577719150545;H;0.13549281140010652
12;580;627;A;letter;A;0.23747449485729938;X;0.1543507105651579;R;0.14496350408590783;K;0.13339843681747857;Ñ;0.12934922146072203
13;632;675;R;letter;R;0.1690770781775957;B;0.15620697302301062;D;0.148320363389871;K;0.14494577719150545;H;0.13549281140010652
14;680;709;S;letter;S;0.1689269577058031;B;0.14180029626421467;D;0.13767397164179346;Q;0.13524635084467956;Ñ;0.12618453205997313
15;714;751;E;letter;E;0.17457697428687097;B;0.1555705402681425;R;0.13182552775851517;K;0.13171548408056175;F;0.13072608449201045
16;774;811;E;letter;E;0.17457697428687097;B;0.1555705402681425;R;0.13182552775851517;K;0.13171548408056175;F;0.13072608449201045
17;816;853;L;letter;L;0.21195750314457742;E;0.2040348367280684;K;0.1614621057743379;F;0.1517376869502387;B;0.14197138559803638
18;876;923;U;letter;H;0.22052847915034254;U;0.1930451934712829;D;0.1834276745339027;K;0.16844888098110136;B;0.16809640835707262
19;928;977;N;letter;N;0.22763519783969238;H;0.2106642965416459;M;0.20369647997511098;D;0.20185684110534652;B;0.1975679058064702
20;982;1025;O;letter;O;0.17650368025500018;Q;0.16903111451087965;G;0.13695670687150802;M;0.1343323402224251;D;0.13062179867171267
21;1048;1095;A;letter;A;0.23747449485729938;X;0.1543507105651579;R;0.14496350408590783;K;0.13339843681747857;Ñ;0.12934922146072203
22;1100;1137;L;letter;L;0.21195750314457742;E;0.2040348367280684;K;0.1614621057743379;F;0.1517376869502387;B;0.14197138559803638
23;1160;1203;O;letter;O;0.17650368025500018;Q;0.16903111451087965;G;0.13695670687150802;M;0.1343323402224251;D;0.13062179867171267
24;1208;1244;T;letter;T;0.2336732624138977;I;0.22266137618064646;Y;0.18132345316423665;E;0.16259659302252236;X;0.15848642105486047
25;1249;1292;R;letter;R;0.1690770781775957;B;0.15620697302301062;D;0.148320363389871;K;0.14494577719150545;H;0.13549281140010652
