idx=1; x_left=0; x_right=47; expected_letter=A; expected_kind=letter; best=A; S1=0.23747449485729938; h2=X; S2=0.1543507105651579; h3=R; S3=0.14496350408590783; h4=K; S4=0.13339843681747857; h5=Ñ; S5=0.12934922146072203
idx=2; x_left=52; x_right=109; expected_letter=M; expected_kind=letter; best=M; S1=0.18385309373052702; h2=D; S2=0.14780006464900397; h3=H; S3=0.14244230632717875; h4=B; S4=0.13637140031733394; h5=K; S5=0.11201691745472094
idx=3; x_left=114; x_right=161; expected_letter=A; expected_kind=letter; best=A; S1=0.23747449485729938; h2=X; S2=0.1543507105651579; h3=R; S3=0.14496350408590783; h4=K; S4=0.13339843681747857; h5=Ñ; S5=0.12934922146072203
idx=4; x_left=166; x_right=209; expected_letter=R; expected_kind=letter; best=R; S1=0.1690770781775957; h2=B; S2=0.15620697302301062; h3=D; S3=0.148320363389871; h4=K; S4=0.14494577719150545; h5=H; S5=0.13549281140010652
idx=5; x_left=232; x_right=281; expected_letter=N; expected_kind=letter; best=N; S1=0.22763519783969238; h2=H; S2=0.2106642965416459; h3=M; S3=0.20369647997511098; h4=D; S4=0.20185684110534652; h5=B; S5=0.1975679058064702
idx=6; x_left=286; x_right=329; expected_letter=O; expected_kind=letter; best=O; S1=0.17650368025500018; h2=Q; S2=0.16903111451087965; h3=G; S3=0.13695670687150802; h4=M; S4=0.1343323402224251; h5=D; S5=0.13062179867171267
idx=7; x_left=352; x_right=389; expected_letter=E; expected_kind=letter; best=E; S1=0.17457697428687097; h2=B; S2=0.1555705402681425; h3=R; S3=0.13182552775851517; h4=K; S4=0.13171548408056175; h5=F; S5=0.13072608449201045
idx=8; x_left=394; x_right=423; expected_letter=S; expected_kind=letter; best=S; S1=0.1689269577058031; h2=B; S2=0.14180029626421467; h3=D; S3=0.13767397164179346; h4=Q; S4=0.13524635084467956; h5=Ñ; S5=0.12618453205997313
idx=9; x_left=446; x_right=503; expected_letter=M; expected_kind=letter; best=M; S1=0.18385309373052702; h2=D; S2=0.14780006464900397; h3=H; S3=0.14244230632717875; h4=B; S4=0.13637140031733394; h5=K; S5=0.11201691745472094
idx=10; x_left=508; x_right=527; expected_letter=I; expected_kind=letter; best=I; S1=0.09770423509541086; h2=R; S2=0.0914383398077371; h3=B; S3=0.09124861777031001; h4=Z; S4=0.09118841385511636; h5=X; S5=0.09005949213037516
idx=11; x_left=532; x_right=575; expected_letter=R; expected_kind=letter; best=R; S1=0.1690770781775957; h2=B; S2=0.15620697302301062; h3=D; S3=0.148320363389871; h4=K; S4=0.14494577719150545; h5=H; S5=0.13549281140010652
idx=12; x_left=580; x_right=627; expected_letter=A; expected_kind=letter; best=A; S1=0.23747449485729938; h2=X; S2=0.1543507105651579; h3=R; S3=0.14496350408590783; h4=K; S4=0.13339843681747857; h5=Ñ; S5=0.12934922146072203
idx=13; x_left=632; x_right=675; expected_letter=R; expected_kind=letter; best=R; S1=0.1690770781775957; h2=B; S2=0.15620697302301062; h3=D; S3=0.148320363389871; h4=K; S4=0.14494577719150545; h5=H; S5=0.13549281140010652
idx=14; x_left=680; x_right=709; expected_letter=S; expected_kind=letter; best=S; S1=0.1689269577058031; h2=B; S2=0.14180029626421467; h3=D; S3=0.13767397164179346; h4=Q; S4=0.13524635084467956; h5=Ñ; S5=0.12618453205997313
idx=15; x_left=714; x_right=751; expected_letter=E; expected_kind=letter; best=E; S1=0.17457697428687097; h2=B; S2=0.1555705402681425; h3=R; S3=0.13182552775851517; h4=K; S4=0.13171548408056175; h5=F; S5=0.13072608449201045
idx=16; x_left=774; x_right=811; expected_letter=E; expected_kind=letter; best=E; S1=0.17457697428687097; h2=B; S2=0.1555705402681425; h3=R; S3=0.13182552775851517; h4=K; S4=0.13171548408056175; h5=F; S5=0.13072608449201045
idx=17; x_left=816; x_right=853; expected_letter=L; expected_kind=letter; best=L; S1=0.21195750314457742; h2=E; S2=0.2040348367280684; h3=K; S3=0.1614621057743379; h4=F; S4=0.1517376869502387; h5=B; S5=0.14197138559803638
idx=18; x_left=876; x_right=923; expected_letter=U; expected_kind=letter; best=H; S1=0.22052847915034254; h2=U; S2=0.1930451934712829; h3=D; S3=0.1834276745339027; h4=K; S4=0.16844888098110136; h5=B; S5=0.16809640835707262
idx=19; x_left=928; x_right=977; expected_letter=N; expected_kind=letter; best=N; S1=0.22763519783969238; h2=H; S2=0.2106642965416459; h3=M; S3=0.20369647997511098; h4=D; S4=0.20185684110534652; h5=B; S5=0.1975679058064702
idx=20; x_left=982; x_right=1025; expected_letter=O; expected_kind=letter; best=O; S1=0.17650368025500018; h2=Q; S2=0.16903111451087965; h3=G; S3=0.13695670687150802; h4=M; S4=0.1343323402224251; h5=D; S5=0.13062179867171267
idx=21; x_left=1048; x_right=1095; expected_letter=A; expected_kind=letter; best=A; S1=0.23747449485729938; h2=X; S2=0.1543507105651579; h3=R; S3=0.14496350408590783; h4=K; S4=0.13339843681747857; h5=Ñ; S5=0.12934922146072203
idx=22; x_left=1100; x_right=1137; expected_letter=L; expected_kind=letter; best=L; S1=0.21195750314457742; h2=E; S2=0.2040348367280684; h3=K; S3=0.1614621057743379; h4=F; S4=0.1517376869502387; h5=B; S5=0.14197138559803638
idx=23; x_left=1160; x_right=1203; expected_letter=O; expected_kind=letter; best=O; S1=0.17650368025500018; h2=Q; S2=0.16903111451087965; h3=G; S3=0.13695670687150802; h4=M; S4=0.1343323402224251; h5=D; S5=0.13062179867171267
idx=24; x_left=1208; x_right=1244; expected_letter=T; expected_kind=letter; best=T; S1=0.2336732624138977; h2=I; S2=0.22266137618064646; h3=Y; S3=0.18132345316423665; h4=E; S4=0.16259659302252236; h5=X; S5=0.15848642105486047
idx=25; x_left=1249; x_right=1292; expected_letter=R; expected_kind=letter; best=R; S1=0.1690770781775957; h2=B; S2=0.15620697302301062; h3=D; S3=0.148320363389871; h4=K; S4=0.14494577719150545; h5=H; S5=0.13549281140010652
idx=26; x_left=1297; x_right=1340; expected_letter=O; expected_kind=letter; best=O; S1=0.17650368025500018; h2=Q; S2=0.16903111451087965; h3=G; S3=0.13695670687150802; h4=M; S4=0.1343323402224251; h5=D; S5=0.13062179867171267
idx=27; x_left=1345; x_right=1354; expected_letter=None; expected_kind=punct; best=V; S1=0.09115951398788687; h2=Y; S2=0.08858789798307642; h3=C; S3=0.08525994248527713; h4=Q; S4=0.08495251963617521; h5=J; S5=0.08456664266120775
idx=28; x_left=1376; x_right=1405; expected_letter=S; expected_kind=letter; best=S; S1=0.1689269577058031; h2=B; S2=0.14180029626421467; h3=D; S3=0.13767397164179346; h4=Q; S4=0.13524635084467956; h5=Ñ; S5=0.12618453205997313
idx=29; x_left=1410; x_right=1429; expected_letter=I; expected_kind=letter; best=I; S1=0.09770423509541086; h2=R; S2=0.0914383398077371; h3=B; S3=0.09124861777031001; h4=Z; S4=0.09118841385511636; h5=X; S5=0.09005949213037516
idx=30; x_left=1434; x_right=1483; expected_letter=N; expected_kind=letter; best=N; S1=0.22763519783969238; h2=H; S2=0.2106642965416459; h3=M; S3=0.20369647997511098; h4=D; S4=0.20185684110534652; h5=B; S5=0.1975679058064702
idx=31; x_left=1488; x_right=1531; expected_letter=O; expected_kind=letter; best=O; S1=0.17650368025500018; h2=Q; S2=0.16903111451087965; h3=G; S3=0.13695670687150802; h4=M; S4=0.1343323402224251; h5=D; S5=0.13062179867171267
idx=32; x_left=1554; x_right=1611; expected_letter=M; expected_kind=letter; best=M; S1=0.18385309373052702; h2=D; S2=0.14780006464900397; h3=H; S3=0.14244230632717875; h4=B; S4=0.13637140031733394; h5=K; S5=0.11201691745472094
idx=33; x_left=1616; x_right=1635; expected_letter=I; expected_kind=letter; best=I; S1=0.09770423509541086; h2=R; S2=0.0914383398077371; h3=B; S3=0.09124861777031001; h4=Z; S4=0.09118841385511636; h5=X; S5=0.09005949213037516
idx=34; x_left=1640; x_right=1683; expected_letter=R; expected_kind=letter; best=R; S1=0.1690770781775957; h2=B; S2=0.15620697302301062; h3=D; S3=0.148320363389871; h4=K; S4=0.14494577719150545; h5=H; S5=0.13549281140010652
idx=35; x_left=1688; x_right=1735; expected_letter=A; expected_kind=letter; best=A; S1=0.23747449485729938; h2=X; S2=0.1543507105651579; h3=R; S3=0.14496350408590783; h4=K; S4=0.13339843681747857; h5=Ñ; S5=0.12934922146072203
idx=36; x_left=1740; x_right=1783; expected_letter=R; expected_kind=letter; best=R; S1=0.1690770781775957; h2=B; S2=0.15620697302301062; h3=D; S3=0.148320363389871; h4=K; S4=0.14494577719150545; h5=H; S5=0.13549281140010652
idx=37; x_left=1806; x_right=1830; expected_letter=J; expected_kind=letter; best=J; S1=0.19852507395517022; h2=I; S2=0.15884192157533253; h3=X; S3=0.15248078283827882; h4=R; S4=0.14230495504435403; h5=E; S5=0.14052300828540285
idx=38; x_left=1835; x_right=1882; expected_letter=U; expected_kind=letter; best=H; S1=0.22052847915034254; h2=U; S2=0.1930451934712829; h3=D; S3=0.1834276745339027; h4=K; S4=0.16844888098110136; h5=B; S5=0.16809640835707262
idx=39; x_left=1887; x_right=1936; expected_letter=N; expected_kind=letter; best=N; S1=0.22763519783969238; h2=H; S2=0.2106642965416459; h3=M; S3=0.20369647997511098; h4=D; S4=0.20185684110534652; h5=B; S5=0.1975679058064702
idx=40; x_left=1941; x_right=1977; expected_letter=T; expected_kind=letter; best=T; S1=0.2336732624138977; h2=I; S2=0.22266137618064646; h3=Y; S3=0.18132345316423665; h4=E; S4=0.16259659302252236; h5=X; S5=0.15848642105486047
idx=41; x_left=1982; x_right=2025; expected_letter=O; expected_kind=letter; best=O; S1=0.17650368025500018; h2=Q; S2=0.16903111451087965; h3=G; S3=0.13695670687150802; h4=M; S4=0.1343323402224251; h5=D; S5=0.13062179867171267
idx=42; x_left=2030; x_right=2059; expected_letter=S; expected_kind=letter; best=S; S1=0.1689269577058031; h2=B; S2=0.14180029626421467; h3=D; S3=0.13767397164179346; h4=Q; S4=0.13524635084467956; h5=Ñ; S5=0.12618453205997313
idx=43; x_left=2082; x_right=2119; expected_letter=E; expected_kind=letter; best=E; S1=0.17457697428687097; h2=B; S2=0.1555705402681425; h3=R; S3=0.13182552775851517; h4=K; S4=0.13171548408056175; h5=F; S5=0.13072608449201045
idx=44; x_left=2124; x_right=2173; expected_letter=N; expected_kind=letter; best=N; S1=0.22763519783969238; h2=H; S2=0.2106642965416459; h3=M; S3=0.20369647997511098; h4=D; S4=0.20185684110534652; h5=B; S5=0.1975679058064702
idx=45; x_left=2196; x_right=2233; expected_letter=L; expected_kind=letter; best=L; S1=0.21195750314457742; h2=E; S2=0.2040348367280684; h3=K; S3=0.1614621057743379; h4=F; S4=0.1517376869502387; h5=B; S5=0.14197138559803638
idx=46; x_left=2238; x_right=2285; expected_letter=A; expected_kind=letter; best=A; S1=0.23747449485729938; h2=X; S2=0.1543507105651579; h3=R; S3=0.14496350408590783; h4=K; S4=0.13339843681747857; h5=Ñ; S5=0.12934922146072203
idx=47; x_left=2308; x_right=2365; expected_letter=M; expected_kind=letter; best=M; S1=0.18385309373052702; h2=D; S2=0.14780006464900397; h3=H; S3=0.14244230632717875; h4=B; S4=0.13637140031733394; h5=K; S5=0.11201691745472094
idx=48; x_left=2370; x_right=2389; expected_letter=I; expected_kind=letter; best=I; S1=0.09770423509541086; h2=R; S2=0.0914383398077371; h3=B; S3=0.09124861777031001; h4=Z; S4=0.09118841385511636; h5=X; S5=0.09005949213037516
idx=49; x_left=2394; x_right=2423; expected_letter=S; expected_kind=letter; best=S; S1=0.1689269577058031; h2=B; S2=0.14180029626421467; h3=D; S3=0.13767397164179346; h4=Q; S4=0.13524635084467956; h5=Ñ; S5=0.12618453205997313
idx=50; x_left=2428; x_right=2485; expected_letter=M; expected_kind=letter; best=M; S1=0.18385309373052702; h2=D; S2=0.14780006464900397; h3=H; S3=0.14244230632717875; h4=B; S4=0.13637140031733394; h5=K; S5=0.11201691745472094
idx=51; x_left=2490; x_right=2537; expected_letter=A; expected_kind=letter; best=A; S1=0.23747449485729938; h2=X; S2=0.1543507105651579; h3=R; S3=0.14496350408590783; h4=K; S4=0.13339843681747857; h5=Ñ; S5=0.12934922146072203
idx=52; x_left=2560; x_right=2605; expected_letter=D; expected_kind=letter; best=D; S1=0.16002112817181202; h2=B; S2=0.1511289915075799; h3=M; S3=0.1427674638843431; h4=H; S4=0.13989363996470877; h5=R; S5=0.11533067778689339
idx=53; x_left=2610; x_right=2629; expected_letter=I; expected_kind=letter; best=I; S1=0.09770423509541086; h2=R; S2=0.0914383398077371; h3=B; S3=0.09124861777031001; h4=Z; S4=0.09118841385511636; h5=X; S5=0.09005949213037516
idx=54; x_left=2634; x_right=2677; expected_letter=R; expected_kind=letter; best=R; S1=0.1690770781775957; h2=B; S2=0.15620697302301062; h3=D; S3=0.148320363389871; h4=K; S4=0.14494577719150545; h5=H; S5=0.13549281140010652
idx=55; x_left=2682; x_right=2719; expected_letter=E; expected_kind=letter; best=E; S1=0.17457697428687097; h2=B; S2=0.1555705402681425; h3=R; S3=0.13182552775851517; h4=K; S4=0.13171548408056175; h5=F; S5=0.13072608449201045
idx=56; x_left=2724; x_right=2764; expected_letter=C; expected_kind=letter; best=C; S1=0.18589950757153195; h2=D; S2=0.1520939765535537; h3=G; S3=0.15125162337093412; h4=O; S4=0.1425142309942343; h5=Q; S5=0.14199962508411998
idx=57; x_left=2769; x_right=2809; expected_letter=C; expected_kind=letter; best=C; S1=0.18589950757153195; h2=D; S2=0.1520939765535537; h3=G; S3=0.15125162337093412; h4=O; S4=0.1425142309942343; h5=Q; S5=0.14199962508411998
