idx;x_left;x_right;expected_letter;expected_kind;best;S1;h2;S2;h3;S3;h4;S4;h5;S5
1;0;36;A;letter;A;1.0;X;0.1440182939793933;R;0.12994221600142125;J;0.1278088733206214;K;0.12214161724410345
2;41;84;M;letter;M;1.0;D;0.25837416254526197;H;0.22852728541025608;B;0.1944798543069107;N;0.17838278487638007
3;89;125;A;letter;A;1.0;X;0.1440182939793933;R;0.12994221600142125;J;0.1278088733206214;K;0.12214161724410345
4;130;163;R;letter;R;1.0;K;0.21881158153617758;X;0.19499431728033043;B;0.19065877874141374;D;0.186241906761352
5;186;223;N;letter;N;1.0;U;0.2079285419296048;H;0.19415101544225222;D;0.1851680503536685;P;0.18270665197682293
6;228;261;O;letter;O;1.0;Q;0.2268498018196028;G;0.20665390180552465;S;0.1619343481605936;C;0.15917808765855873
7;284;312;E;letter;E;1.0;F;0.24891589207639706;L;0.20492920974484913;P;0.19427744585127185;B;0.19154455426198022
8;317;339;S;letter;S;1.0;Q;0.16318847008878617;O;0.1619343481605936;D;0.16051814939893372;Ñ;0.15927781825056897
9;362;405;M;letter;M;1.0;D;0.25837416254526197;H;0.22852728541025608;B;0.1944798543069107;N;0.17838278487638007
10;410;424;I;letter;I;0.1340862929110549;R;0.13214472768507274;X;0.12605476209047728;J;0.1225292151327793;S;0.12214343080644932
11;429;462;R;letter;R;1.0;K;0.21881158153617758;X;0.19499431728033043;B;0.19065877874141374;D;0.186241906761352
12;467;503;A;letter;A;1.0;X;0.1440182939793933;R;0.12994221600142125;J;0.1278088733206214;K;0.12214161724410345
13;508;541;R;letter;R;1.0;K;0.21881158153617758;X;0.19499431728033043;B;0.19065877874141374;D;0.186241906761352
14;546;568;S;letter;S;1.0;Q;0.16318847008878617;O;0.1619343481605936;D;0.16051814939893372;Ñ;0.15927781825056897
15;573;601;E;letter;E;1.0;F;0.24891589207639706;L;0.20492920974484913;P;0.19427744585127185;B;0.19154455426198022
16;624;652;E;letter;E;1.0;F;0.24891589207639706;L;0.20492920974484913;P;0.19427744585127185;B;0.19154455426198022
17;657;685;L;letter;L;1.0;E;0.20492920974484913;F;0.1813575083904037;K;0.1609538002601834;U;0.1465715318527577
18;708;744;U;letter;U;1.0;N;0.2079285419296048;H;0.20079782494452114;K;0.17933233697476414;F;0.16791985458470204
19;749;786;N;letter;N;1.0;U;0.2079285419296048;H;0.19415101544225222;D;0.1851680503536685;P;0.18270665197682293
20;791;824;O;letter;O;1.0;Q;0.2268498018196028;G;0.20665390180552465;S;0.1619343481605936;C;0.15917808765855873
21;847;883;A;letter;A;1.0;X;0.1440182939793933;R;0.12994221600142125;J;0.1278088733206214;K;0.12214161724410345
