idx=1; x_left=0; x_right=36; expected_letter=A; expected_kind=letter; best=A; S1=1.0; h2=X; S2=0.1440182939793933; h3=R; S3=0.12994221600142125; h4=J; S4=0.1278088733206214; h5=K; S5=0.12214161724410345
idx=2; x_left=41; x_right=84; expected_letter=M; expected_kind=letter; best=M; S1=1.0; h2=D; S2=0.25837416254526197; h3=H; S3=0.22852728541025608; h4=B; S4=0.1944798543069107; h5=N; S5=0.17838278487638007
idx=3; x_left=89; x_right=125; expected_letter=A; expected_kind=letter; best=A; S1=1.0; h2=X; S2=0.1440182939793933; h3=R; S3=0.12994221600142125; h4=J; S4=0.1278088733206214; h5=K; S5=0.12214161724410345
idx=4; x_left=130; x_right=163; expected_letter=R; expected_kind=letter; best=R; S1=1.0; h2=K; S2=0.21881158153617758; h3=X; S3=0.19499431728033043; h4=B; S4=0.19065877874141374; h5=D; S5=0.186241906761352
idx=5; x_left=186; x_right=223; expected_letter=N; expected_kind=letter; best=N; S1=1.0; h2=U; S2=0.2079285419296048; h3=H; S3=0.19415101544225222; h4=D; S4=0.1851680503536685; h5=P; S5=0.18270665197682293
idx=6; x_left=228; x_right=261; expected_letter=O; expected_kind=letter; best=O; S1=1.0; h2=Q; S2=0.2268498018196028; h3=G; S3=0.20665390180552465; h4=S; S4=0.1619343481605936; h5=C; S5=0.15917808765855873
idx=7; x_left=284; x_right=312; expected_letter=E; expected_kind=letter; best=E; S1=1.0; h2=F; S2=0.24891589207639706; h3=L; S3=0.20492920974484913; h4=P; S4=0.19427744585127185; h5=B; S5=0.19154455426198022
idx=8; x_left=317; x_right=339; expected_letter=S; expected_kind=letter; best=S; S1=1.0; h2=Q; S2=0.16318847008878617; h3=O; S3=0.1619343481605936; h4=D; S4=0.16051814939893372; h5=Ñ; S5=0.15927781825056897
idx=9; x_left=362; x_right=405; expected_letter=M; expected_kind=letter; best=M; S1=1.0; h2=D; S2=0.25837416254526197; h3=H; S3=0.22852728541025608; h4=B; S4=0.1944798543069107; h5=N; S5=0.17838278487638007
idx=10; x_left=410; x_right=424; expected_letter=I; expected_kind=letter; best=I; S1=0.1340862929110549; h2=R; S2=0.13214472768507274; h3=X; S3=0.12605476209047728; h4=J; S4=0.1225292151327793; h5=S; S5=0.12214343080644932
idx=11; x_left=429; x_right=462; expected_letter=R; expected_kind=letter; best=R; S1=1.0; h2=K; S2=0.21881158153617758; h3=X; S3=0.19499431728033043; h4=B; S4=0.19065877874141374; h5=D; S5=0.186241906761352
idx=12; x_left=467; x_right=503; expected_letter=A; expected_kind=letter; best=A; S1=1.0; h2=X; S2=0.1440182939793933; h3=R; S3=0.12994221600142125; h4=J; S4=0.1278088733206214; h5=K; S5=0.12214161724410345
idx=13; x_left=508; x_right=541; expected_letter=R; expected_kind=letter; best=R; S1=1.0; h2=K; S2=0.21881158153617758; h3=X; S3=0.19499431728033043; h4=B; S4=0.19065877874141374; h5=D; S5=0.186241906761352
idx=14; x_left=546; x_right=568; expected_letter=S; expected_kind=letter; best=S; S1=1.0; h2=Q; S2=0.16318847008878617; h3=O; S3=0.1619343481605936; h4=D; S4=0.16051814939893372; h5=Ñ; S5=0.15927781825056897
idx=15; x_left=573; x_right=601; expected_letter=E; expected_kind=letter; best=E; S1=1.0; h2=F; S2=0.24891589207639706; h3=L; S3=0.20492920974484913; h4=P; S4=0.19427744585127185; h5=B; S5=0.19154455426198022
idx=16; x_left=624; x_right=652; expected_letter=E; expected_kind=letter; best=E; S1=1.0; h2=F; S2=0.24891589207639706; h3=L; S3=0.20492920974484913; h4=P; S4=0.19427744585127185; h5=B; S5=0.19154455426198022
idx=17; x_left=657; x_right=685; expected_letter=L; expected_kind=letter; best=L; S1=1.0; h2=E; S2=0.20492920974484913; h3=F; S3=0.1813575083904037; h4=K; S4=0.1609538002601834; h5=U; S5=0.1465715318527577
idx=18; x_left=708; x_right=744; expected_letter=U; expected_kind=letter; best=U; S1=1.0; h2=N; S2=0.2079285419296048; h3=H; S3=0.20079782494452114; h4=K; S4=0.17933233697476414; h5=F; S5=0.16791985458470204
idx=19; x_left=749; x_right=786; expected_letter=N; expected_kind=letter; best=N; S1=1.0; h2=U; S2=0.2079285419296048; h3=H; S3=0.19415101544225222; h4=D; S4=0.1851680503536685; h5=P; S5=0.18270665197682293
idx=20; x_left=791; x_right=824; expected_letter=O; expected_kind=letter; best=O; S1=1.0; h2=Q; S2=0.2268498018196028; h3=G; S3=0.20665390180552465; h4=S; S4=0.1619343481605936; h5=C; S5=0.15917808765855873
idx=21; x_left=847; x_right=883; expected_letter=A; expected_kind=letter; best=A; S1=1.0; h2=X; S2=0.1440182939793933; h3=R; S3=0.12994221600142125; h4=J; S4=0.1278088733206214; h5=K; S5=0.12214161724410345
idx=22; x_left=888; x_right=916; expected_letter=L; expected_kind=letter; best=L; S1=1.0; h2=E; S2=0.20492920974484913; h3=F; S3=0.1813575083904037; h4=K; S4=0.1609538002601834; h5=U; S5=0.1465715318527577
idx=23; x_left=939; x_right=972; expected_letter=O; expected_kind=letter; best=O; S1=1.0; h2=Q; S2=0.2268498018196028; h3=G; S3=0.20665390180552465; h4=S; S4=0.1619343481605936; h5=C; S5=0.15917808765855873
idx=24; x_left=977; x_right=1004; expected_letter=T; expected_kind=letter; best=T; S1=0.22140100901479418; h2=I; S2=0.19538305363088124; h3=Y; S3=0.1861446969848532; h4=V; S4=0.1471998832647172; h5=J; S5=0.14692177903992346
idx=25; x_left=1009; x_right=1042; expected_letter=R; expected_kind=letter; best=R; S1=1.0; h2=K; S2=0.21881158153617758; h3=X; S3=0.19499431728033043; h4=B; S4=0.19065877874141374; h5=D; S5=0.186241906761352
idx=26; x_left=1047; x_right=1080; expected_letter=O; expected_kind=letter; best=O; S1=1.0; h2=Q; S2=0.2268498018196028; h3=G; S3=0.20665390180552465; h4=S; S4=0.1619343481605936; h5=C; S5=0.15917808765855873
idx=27; x_left=1085; x_right=1091; expected_letter=None; expected_kind=punct; best=Z; S1=0.06522011904661314; h2=S; S2=0.06481823437838159; h3=A; S3=0.06385323766275655; h4=G; S4=0.062286477803108115; h5=C; S5=0.062231299300254006
idx=28; x_left=1113; x_right=1135; expected_letter=S; expected_kind=letter; best=S; S1=1.0; h2=Q; S2=0.16318847008878617; h3=O; S3=0.1619343481605936; h4=D; S4=0.16051814939893372; h5=Ñ; S5=0.15927781825056897
idx=29; x_left=1140; x_right=1154; expected_letter=I; expected_kind=letter; best=I; S1=0.1340862929110549; h2=R; S2=0.13214472768507274; h3=X; S3=0.12605476209047728; h4=J; S4=0.1225292151327793; h5=S; S5=0.12214343080644932
idx=30; x_left=1159; x_right=1196; expected_letter=N; expected_kind=letter; best=N; S1=1.0; h2=U; S2=0.2079285419296048; h3=H; S3=0.19415101544225222; h4=D; S4=0.1851680503536685; h5=P; S5=0.18270665197682293
idx=31; x_left=1201; x_right=1234; expected_letter=O; expected_kind=letter; best=O; S1=1.0; h2=Q; S2=0.2268498018196028; h3=G; S3=0.20665390180552465; h4=S; S4=0.1619343481605936; h5=C; S5=0.15917808765855873
idx=32; x_left=1257; x_right=1300; expected_letter=M; expected_kind=letter; best=M; S1=1.0; h2=D; S2=0.25837416254526197; h3=H; S3=0.22852728541025608; h4=B; S4=0.1944798543069107; h5=N; S5=0.17838278487638007
idx=33; x_left=1305; x_right=1319; expected_letter=I; expected_kind=letter; best=I; S1=0.1340862929110549; h2=R; S2=0.13214472768507274; h3=X; S3=0.12605476209047728; h4=J; S4=0.1225292151327793; h5=S; S5=0.12214343080644932
idx=34; x_left=1324; x_right=1357; expected_letter=R; expected_kind=letter; best=R; S1=1.0; h2=K; S2=0.21881158153617758; h3=X; S3=0.19499431728033043; h4=B; S4=0.19065877874141374; h5=D; S5=0.186241906761352
idx=35; x_left=1362; x_right=1398; expected_letter=A; expected_kind=letter; best=A; S1=1.0; h2=X; S2=0.1440182939793933; h3=R; S3=0.12994221600142125; h4=J; S4=0.1278088733206214; h5=K; S5=0.12214161724410345
idx=36; x_left=1403; x_right=1436; expected_letter=R; expected_kind=letter; best=R; S1=1.0; h2=K; S2=0.21881158153617758; h3=X; S3=0.19499431728033043; h4=B; S4=0.19065877874141374; h5=D; S5=0.186241906761352
idx=37; x_left=1459; x_right=1477; expected_letter=J; expected_kind=letter; best=J; S1=1.0; h2=I; S2=0.1697843670094984; h3=X; S3=0.16665587938898846; h4=Y; S4=0.14858463344485254; h5=N; S5=0.14357722169324583
idx=38; x_left=1482; x_right=1518; expected_letter=U; expected_kind=letter; best=U; S1=1.0; h2=N; S2=0.2079285419296048; h3=H; S3=0.20079782494452114; h4=K; S4=0.17933233697476414; h5=F; S5=0.16791985458470204
idx=39; x_left=1523; x_right=1560; expected_letter=N; expected_kind=letter; best=N; S1=1.0; h2=U; S2=0.2079285419296048; h3=H; S3=0.19415101544225222; h4=D; S4=0.1851680503536685; h5=P; S5=0.18270665197682293
idx=40; x_left=1565; x_right=1592; expected_letter=T; expected_kind=letter; best=T; S1=0.22140100901479418; h2=I; S2=0.19538305363088124; h3=Y; S3=0.1861446969848532; h4=V; S4=0.1471998832647172; h5=J; S5=0.14692177903992346
idx=41; x_left=1597; x_right=1630; expected_letter=O; expected_kind=letter; best=O; S1=1.0; h2=Q; S2=0.2268498018196028; h3=G; S3=0.20665390180552465; h4=S; S4=0.1619343481605936; h5=C; S5=0.15917808765855873
idx=42; x_left=1635; x_right=1657; expected_letter=S; expected_kind=letter; best=S; S1=1.0; h2=Q; S2=0.16318847008878617; h3=O; S3=0.1619343481605936; h4=D; S4=0.16051814939893372; h5=Ñ; S5=0.15927781825056897
idx=43; x_left=1680; x_right=1708; expected_letter=E; expected_kind=letter; best=E; S1=1.0; h2=F; S2=0.24891589207639706; h3=L; S3=0.20492920974484913; h4=P; S4=0.19427744585127185; h5=B; S5=0.19154455426198022
idx=44; x_left=1713; x_right=1750; expected_letter=N; expected_kind=letter; best=N; S1=1.0; h2=U; S2=0.2079285419296048; h3=H; S3=0.19415101544225222; h4=D; S4=0.1851680503536685; h5=P; S5=0.18270665197682293
idx=45; x_left=1773; x_right=1801; expected_letter=L; expected_kind=letter; best=L; S1=1.0; h2=E; S2=0.20492920974484913; h3=F; S3=0.1813575083904037; h4=K; S4=0.1609538002601834; h5=U; S5=0.1465715318527577
idx=46; x_left=1806; x_right=1842; expected_letter=A; expected_kind=letter; best=A; S1=1.0; h2=X; S2=0.1440182939793933; h3=R; S3=0.12994221600142125; h4=J; S4=0.1278088733206214; h5=K; S5=0.12214161724410345
idx=47; x_left=1865; x_right=1908; expected_letter=M; expected_kind=letter; best=M; S1=1.0; h2=D; S2=0.25837416254526197; h3=H; S3=0.22852728541025608; h4=B; S4=0.1944798543069107; h5=N; S5=0.17838278487638007
idx=48; x_left=1913; x_right=1927; expected_letter=I; expected_kind=letter; best=I; S1=0.1340862929110549; h2=R; S2=0.13214472768507274; h3=X; S3=0.12605476209047728; h4=J; S4=0.1225292151327793; h5=S; S5=0.12214343080644932
idx=49; x_left=1932; x_right=1954; expected_letter=S; expected_kind=letter; best=S; S1=1.0; h2=Q; S2=0.16318847008878617; h3=O; S3=0.1619343481605936; h4=D; S4=0.16051814939893372; h5=Ñ; S5=0.15927781825056897
idx=50; x_left=1959; x_right=2002; expected_letter=M; expected_kind=letter; best=M; S1=1.0; h2=D; S2=0.25837416254526197; h3=H; S3=0.22852728541025608; h4=B; S4=0.1944798543069107; h5=N; S5=0.17838278487638007
idx=51; x_left=2007; x_right=2043; expected_letter=A; expected_kind=letter; best=A; S1=1.0; h2=X; S2=0.1440182939793933; h3=R; S3=0.12994221600142125; h4=J; S4=0.1278088733206214; h5=K; S5=0.12214161724410345
idx=52; x_left=2066; x_right=2100; expected_letter=D; expected_kind=letter; best=D; S1=1.0; h2=H; S2=0.27332055769118; h3=M; S3=0.25837416254526197; h4=B; S4=0.2579232722581157; h5=R; S5=0.186241906761352
idx=53; x_left=2105; x_right=2119; expected_letter=I; expected_kind=letter; best=I; S1=0.1340862929110549; h2=R; S2=0.13214472768507274; h3=X; S3=0.12605476209047728; h4=J; S4=0.1225292151327793; h5=S; S5=0.12214343080644932
idx=54; x_left=2124; x_right=2157; expected_letter=R; expected_kind=letter; best=R; S1=1.0; h2=K; S2=0.21881158153617758; h3=X; S3=0.19499431728033043; h4=B; S4=0.19065877874141374; h5=D; S5=0.186241906761352
idx=55; x_left=2162; x_right=2190; expected_letter=E; expected_kind=letter; best=E; S1=1.0; h2=F; S2=0.24891589207639706; h3=L; S3=0.20492920974484913; h4=P; S4=0.19427744585127185; h5=B; S5=0.19154455426198022
idx=56; x_left=2195; x_right=2225; expected_letter=C; expected_kind=letter; best=C; S1=1.0; h2=G; S2=0.1865286785729094; h3=O; S3=0.15917808765855873; h4=D; S4=0.14410875288772168; h5=R; S5=0.1438519360594898
idx=57; x_left=2230; x_right=2260; expected_letter=C; expected_kind=letter; best=C; S1=1.0; h2=G; S2=0.1865286785729094; h3=O; S3=0.15917808765855873; h4=D; S4=0.14410875288772168; h5=R; S5=0.1438519360594898
idx=58; x_left=2265; x_right=2279; expected_letter=I; expected_kind=letter; best=I; S1=0.1340862929110549; h2=R; S2=0.13214472768507274; h3=X; S3=0.12605476209047728; h4=J; S4=0.1225292151327793; h5=S; S5=0.12214343080644932
idx=59; x_left=2284; x_right=2305; expected_letter=None; expected_kind=punct; best=S; S1=0.13301337064055885; h2=G; S2=0.1179178220409613; h3=O; S3=0.11267542214836408; h4=Q; S4=0.10573353966127162; h5=Ñ; S5=0.10380526959235659
idx=60; x_left=2309; x_right=2346; expected_letter=N; expected_kind=letter; best=N; S1=1.0; h2=U; S2=0.2079285419296048; h3=H; S3=0.19415101544225222; h4=D; S4=0.1851680503536685; h5=P; S5=0.18270665197682293
